generation;fitness;w1;w2;w3;w4;w5;w6;w7;
2;30000.000000;0.027770;0.483273;0.808312;0.849421;0.219946;0.683975;0.099250;
2;28000.000000;0.027770;0.003769;0.808312;0.706117;0.359430;0.916611;0.653141;
2;15200.000000;0.027770;0.888304;0.708790;0.849421;0.219946;0.891777;0.653141;
2;8000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.099250;
2;28000.000000;0.402582;0.259118;0.834990;0.186826;0.292264;0.478449;0.653141;
2;28000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
2;24000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
2;28000.000000;0.027770;0.003769;0.808312;0.186826;0.292264;0.891777;0.653141;
2;26000.000000;0.740067;0.094910;0.321299;0.849421;0.561319;0.478449;0.588427;
3;14200.000000;0.027770;0.888304;0.708790;0.849421;0.219946;0.916611;0.653141;
3;19000.000000;0.027770;0.294907;0.808312;0.706117;0.359430;0.891777;0.355848;
3;16000.000000;0.655252;0.221992;1.000000;0.875897;0.455311;0.891777;0.955160;
3;18400.000000;0.902491;0.171027;0.402949;0.186826;0.219946;0.891777;0.653141;
3;18400.000000;0.000000;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
3;20000.000000;0.902491;0.171027;1.000000;0.186826;0.292264;0.211440;0.848811;
3;35000.000000;0.655252;0.221992;0.574974;0.875897;0.455311;0.891777;0.653141;
3;19000.000000;0.027770;0.294907;0.808312;0.849421;0.219946;1.000000;0.653141;
3;18400.000000;0.379644;0.171027;1.000000;0.186826;0.219946;0.891777;0.653141;
3;18000.000000;0.902491;0.888304;1.000000;0.712987;0.292264;0.916611;0.792665;
3;18000.000000;0.902491;0.003769;0.808312;0.849421;0.359430;0.211440;0.848811;
3;20000.000000;0.027770;0.171027;0.834990;0.186826;0.292264;0.211440;0.670469;
3;16000.000000;0.655252;0.000000;0.834990;0.186826;0.455311;0.891777;0.955160;
3;28000.000000;0.902491;0.171027;0.409885;0.875897;0.292264;0.211440;0.848811;
3;28000.000000;1.000000;0.171027;0.574974;1.000000;0.455311;0.211440;0.848811;
3;35000.000000;0.655252;0.221992;0.834990;0.186826;0.292264;1.000000;0.653141;
3;14200.000000;0.655252;0.888304;0.708790;0.706117;0.359430;0.891777;0.653141;
3;35000.000000;0.027770;0.221992;0.574974;0.875897;0.455311;0.891777;0.653141;
3;20000.000000;0.027770;0.171027;0.834990;0.186826;0.359430;0.211440;0.848811;
3;18000.000000;0.902491;0.003769;0.808312;0.849421;0.292264;0.211440;0.848811;
4;21000.000000;0.027770;0.294907;0.808312;0.706117;0.298273;1.000000;0.502257;
4;33000.000000;0.027770;0.294907;0.808312;0.849421;0.219946;0.887020;0.355848;
4;32000.000000;0.000000;0.003769;1.000000;0.875897;0.455311;0.891777;0.955160;
4;28000.000000;0.934444;0.221992;0.808312;0.849421;0.219946;0.891777;0.653141;
4;28000.000000;0.902491;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
4;11000.000000;0.000000;0.003769;0.808312;0.849421;0.359430;0.211440;0.848811;
4;27200.000000;0.027770;0.888304;0.808312;0.849421;0.219946;0.916611;0.653141;
4;28000.000000;0.000000;0.003769;0.708790;0.849421;0.219946;0.891777;0.653141;
4;22000.000000;1.000000;0.171027;1.000000;0.186826;0.292264;0.211440;0.848811;
4;28000.000000;0.000000;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
4;11000.000000;0.902491;0.221992;1.000000;0.849421;0.359430;0.211440;0.848811;
4;32000.000000;0.655252;0.003769;0.808312;0.875897;0.455311;0.891777;0.955160;
4;32000.000000;0.655252;0.294907;0.808312;0.875897;0.455311;0.891777;0.955160;
4;21000.000000;0.027770;0.221992;1.000000;0.849421;0.219946;1.000000;0.653141;
4;32000.000000;0.655252;0.221992;1.000000;0.875897;0.455311;0.891777;0.955160;
4;32000.000000;0.655252;0.221992;1.000000;0.875897;0.455311;0.891777;0.955160;
4;11000.000000;1.000000;0.003769;0.808312;0.849421;0.359430;0.211440;0.848811;
4;11000.000000;0.902491;0.003769;0.808312;0.849421;0.359430;0.211440;0.848811;
4;5000.000000;0.655252;0.003769;0.808312;0.849421;0.292264;1.000000;0.653141;
4;28000.000000;0.000000;0.221992;0.834990;0.186826;0.219946;0.891777;0.653141;
5;32000.000000;0.902491;0.003769;0.808312;0.504129;0.219946;0.887020;0.355848;
5;27000.000000;0.027770;0.294907;0.808312;0.849421;0.219946;0.891777;0.653141;
5;20000.000000;0.027770;0.294907;0.808312;0.706117;0.359430;0.211440;0.848811;
5;35000.000000;0.000000;0.003769;0.808312;0.815876;0.298273;1.000000;0.502257;
5;13000.000000;0.902491;0.294907;0.808312;0.849421;0.359430;0.211440;0.848811;
